date,price
08/09/2016,27.2025
08/10/2016,27.0
08/11/2016,26.9825
08/12/2016,27.045
08/15/2016,27.37
08/16/2016,27.345
08/17/2016,27.305
08/18/2016,27.27
08/19/2016,27.34
08/22/2016,27.1275
08/23/2016,27.2125
08/24/2016,27.0075
08/25/2016,26.8925
08/26/2016,26.735
08/29/2016,26.705
08/30/2016,26.5
08/31/2016,26.525
09/01/2016,26.6825
09/02/2016,26.9325
09/06/2016,26.925
09/07/2016,27.09
09/08/2016,26.38
09/09/2016,25.7825
09/12/2016,26.36
09/13/2016,26.9875
09/14/2016,27.9425
09/15/2016,28.8925
09/16/2016,28.73
09/19/2016,28.395
09/20/2016,28.3925
09/21/2016,28.3875
09/22/2016,28.655
09/23/2016,28.1775
09/26/2016,28.22
09/27/2016,28.2725
09/28/2016,28.4875
09/29/2016,28.045
09/30/2016,28.2625
10/03/2016,28.13
10/04/2016,28.25
10/05/2016,28.2625
10/06/2016,28.4725
10/07/2016,28.515
10/10/2016,29.0125
10/11/2016,29.075
10/12/2016,29.335
10/13/2016,29.245
10/14/2016,29.4075
10/17/2016,29.3875
10/18/2016,29.3675
10/19/2016,29.28
10/20/2016,29.265
10/21/2016,29.15
10/24/2016,29.4125
10/25/2016,29.5625
10/26/2016,28.8975
10/27/2016,28.62
10/28/2016,28.43
10/31/2016,28.385
11/01/2016,27.8725
11/02/2016,27.8975
11/03/2016,27.4575
11/04/2016,27.21
11/07/2016,27.6025
11/08/2016,27.765
11/09/2016,27.72
11/10/2016,26.9475
11/11/2016,27.1075
11/14/2016,26.4275
11/15/2016,26.7775
11/16/2016,27.4975
11/17/2016,27.4875
11/18/2016,27.515
11/21/2016,27.9325
11/22/2016,27.95
11/23/2016,27.8075
11/25/2016,27.9475
11/28/2016,27.8925
11/29/2016,27.865
11/30/2016,27.63
12/01/2016,27.3725
12/02/2016,27.475
12/05/2016,27.2775
12/06/2016,27.4875
12/07/2016,27.7575
12/08/2016,28.03
12/09/2016,28.4875
12/12/2016,28.325
12/13/2016,28.7975
12/14/2016,28.7975
12/15/2016,28.955
12/16/2016,28.9925
12/19/2016,29.16
12/20/2016,29.2375
12/21/2016,29.265
12/22/2016,29.0725
12/23/2016,29.13
12/27/2016,29.315
12/28/2016,29.19
12/29/2016,29.1825
12/30/2016,28.955
01/03/2017,29.0375
01/04/2017,29.005
01/05/2017,29.1525
01/06/2017,29.4775
01/09/2017,29.7475
01/10/2017,29.7775
01/11/2017,29.9375
01/12/2017,29.8125
01/13/2017,29.76
01/17/2017,30.0
01/18/2017,29.9975
01/19/2017,29.945
01/20/2017,30.0
01/23/2017,30.02
01/24/2017,29.9925
01/25/2017,30.47
01/26/2017,30.485
01/27/2017,30.4875
01/30/2017,30.4075
01/31/2017,30.3375
02/01/2017,32.1875
02/02/2017,32.1325
02/03/2017,32.27
02/06/2017,32.5725
02/07/2017,32.8825
02/08/2017,33.01
02/09/2017,33.105
02/10/2017,33.03
02/13/2017,33.3225
02/14/2017,33.755
02/15/2017,33.8775
02/16/2017,33.8363
02/17/2017,33.93
02/21/2017,34.175
02/22/2017,34.2775
02/23/2017,34.1325
02/24/2017,34.165
02/27/2017,34.2325
02/28/2017,34.2475
03/01/2017,34.9475
03/02/2017,34.74
03/03/2017,34.945
03/06/2017,34.835
03/07/2017,34.88
03/08/2017,34.75
03/09/2017,34.67
03/10/2017,34.785
03/13/2017,34.8
03/14/2017,34.7475
03/15/2017,35.115
03/16/2017,35.1725
03/17/2017,34.9975
03/20/2017,35.365
03/21/2017,34.96
03/22/2017,35.355
03/23/2017,35.23
03/24/2017,35.16
03/27/2017,35.22
03/28/2017,35.95
03/29/2017,36.03
03/30/2017,35.9825
03/31/2017,35.915
04/03/2017,35.925
04/04/2017,36.1925
04/05/2017,36.005
04/06/2017,35.915
04/07/2017,35.835
04/10/2017,35.7925
04/11/2017,35.4075
04/12/2017,35.45
04/13/2017,35.2625
04/17/2017,35.4575
04/18/2017,35.3
04/19/2017,35.17
04/20/2017,35.61
04/21/2017,35.5675
04/24/2017,35.91
04/25/2017,36.1325
04/26/2017,35.92
04/27/2017,35.9475
04/28/2017,35.9125
05/01/2017,36.645
05/02/2017,36.8775
05/03/2017,36.765
05/04/2017,36.6325
05/05/2017,37.24
05/08/2017,38.2525
05/09/2017,38.4975
05/10/2017,38.315
05/11/2017,38.4875
05/12/2017,39.025
05/15/2017,38.925
05/16/2017,38.8675
05/17/2017,37.5625
05/18/2017,38.135
05/19/2017,38.265
05/22/2017,38.4975
05/23/2017,38.45
05/24/2017,38.335
05/25/2017,38.4675
05/26/2017,38.4025
05/30/2017,38.4175
05/31/2017,38.19
06/01/2017,38.295
06/02/2017,38.8625
06/05/2017,38.4825
06/06/2017,38.6125
06/07/2017,38.8425
06/08/2017,38.7475
06/09/2017,37.245
06/12/2017,36.355
06/13/2017,36.6475
06/14/2017,36.29
06/15/2017,36.0725
06/16/2017,35.5675
06/19/2017,36.585
06/20/2017,36.2525
06/21/2017,36.4675
06/22/2017,36.4075
06/23/2017,36.57
06/26/2017,36.455
06/27/2017,35.9325
06/28/2017,36.4575
06/29/2017,35.92
06/30/2017,36.005
07/03/2017,35.875
07/05/2017,36.0225
07/06/2017,35.6825
07/07/2017,36.045
07/10/2017,36.265
07/11/2017,36.3825
07/12/2017,36.435
07/13/2017,36.9425
07/14/2017,37.26
07/17/2017,37.39
07/18/2017,37.52
07/19/2017,37.755
07/20/2017,37.585
07/21/2017,37.5675
07/24/2017,38.0225
07/25/2017,38.185
07/26/2017,38.365
07/27/2017,37.64
07/28/2017,37.375
07/31/2017,37.1825
08/01/2017,37.5125
08/02/2017,39.285
08/03/2017,38.8925
08/04/2017,39.0975
08/07/2017,39.7025
08/08/2017,40.02
08/09/2017,40.265
08/10/2017,38.83
08/11/2017,39.37
08/14/2017,39.9625
08/15/2017,40.4
08/16/2017,40.2375
08/17/2017,39.465
08/18/2017,39.375
08/21/2017,39.3025
08/22/2017,39.945
08/23/2017,39.995
08/24/2017,39.8175
08/25/2017,39.965
08/28/2017,40.3675
08/29/2017,40.7275
08/30/2017,40.8375
08/31/2017,41.0
09/01/2017,41.0125
09/05/2017,40.52
09/06/2017,40.4775
09/07/2017,40.315
09/08/2017,39.6575
09/11/2017,40.375
09/12/2017,40.215
09/13/2017,39.9125
09/14/2017,39.57
09/15/2017,39.97
09/18/2017,39.6675
09/19/2017,39.6825
09/20/2017,39.0175
09/21/2017,38.3475
09/22/2017,37.9725
09/25/2017,37.6375
09/26/2017,38.285
09/27/2017,38.5575
09/28/2017,38.32
09/29/2017,38.53
10/02/2017,38.4525
10/03/2017,38.62
10/04/2017,38.37
10/05/2017,38.8475
10/06/2017,38.825
10/09/2017,38.96
10/10/2017,38.975
10/11/2017,39.1375
10/12/2017,39.0
10/13/2017,39.2475
10/16/2017,39.97
10/17/2017,40.1175
10/18/2017,39.94
10/19/2017,38.995
10/20/2017,39.0625
10/23/2017,39.0425
10/24/2017,39.275
10/25/2017,39.1025
10/26/2017,39.3525
10/27/2017,40.7625
10/30/2017,41.68
10/31/2017,42.26
11/01/2017,41.7225
11/02/2017,42.0275
11/03/2017,43.125
11/06/2017,43.5625
11/07/2017,43.7025
11/08/2017,44.06
11/09/2017,43.97
11/10/2017,43.6675
11/13/2017,43.4925
11/14/2017,42.835
11/15/2017,42.27
11/16/2017,42.775
11/17/2017,42.5375
11/20/2017,42.495
11/21/2017,43.285
11/22/2017,43.74
11/24/2017,43.7425
11/27/2017,43.5225
11/28/2017,43.2675
11/29/2017,42.37
11/30/2017,42.9625
12/01/2017,42.7625
12/04/2017,42.45
12/05/2017,42.41
12/06/2017,42.2525
12/07/2017,42.33
12/08/2017,42.3425
12/11/2017,43.1675
12/12/2017,42.925
12/13/2017,43.0675
12/14/2017,43.055
12/15/2017,43.4925
12/18/2017,44.105
12/19/2017,43.635
12/20/2017,43.5875
12/21/2017,43.7525
12/22/2017,43.7525
12/26/2017,42.6425
12/27/2017,42.65
12/28/2017,42.77
12/29/2017,42.3075
01/02/2018,43.065
01/03/2018,43.0575
01/04/2018,43.2575
01/05/2018,43.75
01/08/2018,43.5875
01/09/2018,43.5825
01/10/2018,43.5725
01/11/2018,43.82
01/12/2018,44.2725
01/16/2018,44.0475
01/17/2018,44.775
01/18/2018,44.815
01/19/2018,44.615
01/22/2018,44.25
01/23/2018,44.26
01/24/2018,43.555
01/25/2018,42.7775
01/26/2018,42.8775
01/29/2018,41.99
01/30/2018,41.7425
01/31/2018,41.8575
02/01/2018,41.945
02/02/2018,40.125
02/05/2018,39.1225
02/06/2018,40.7575
02/07/2018,39.885
02/08/2018,38.7875
02/09/2018,39.1025
02/12/2018,40.6775
02/13/2018,41.085
02/14/2018,41.8425
02/15/2018,43.2475
02/16/2018,43.1075
02/20/2018,42.9625
02/21/2018,42.7675
02/22/2018,43.125
02/23/2018,43.875
02/26/2018,44.7425
02/27/2018,44.5975
02/28/2018,44.53
03/01/2018,43.75
03/02/2018,44.0525
03/05/2018,44.205
03/06/2018,44.1675
03/07/2018,43.7575
03/08/2018,44.235
03/09/2018,44.995
03/12/2018,45.43
03/13/2018,44.9925
03/14/2018,44.61
03/15/2018,44.6625
03/16/2018,44.505
03/19/2018,43.825
03/20/2018,43.81
03/21/2018,42.8175
03/22/2018,42.2125
03/23/2018,41.235
03/26/2018,43.1925
03/27/2018,42.085
03/28/2018,41.62
03/29/2018,41.945
04/02/2018,41.67
04/03/2018,42.0975
04/04/2018,42.9025
04/05/2018,43.2
04/06/2018,42.095
04/09/2018,42.5125
04/10/2018,43.3125
04/11/2018,43.11
04/12/2018,43.535
04/13/2018,43.6825
04/16/2018,43.955
04/17/2018,44.56
04/18/2018,44.46
04/19/2018,43.2
04/20/2018,41.43
04/23/2018,41.31
04/24/2018,40.735
04/25/2018,40.9125
04/26/2018,41.055
04/27/2018,40.58
04/30/2018,41.315
05/01/2018,42.275
05/02/2018,44.1425
05/03/2018,44.2225
05/04/2018,45.9575
05/07/2018,46.29
05/08/2018,46.5125
05/09/2018,46.84
05/10/2018,47.51
05/11/2018,47.1475
05/14/2018,47.0375
05/15/2018,46.61
05/16/2018,47.045
05/17/2018,46.7475
05/18/2018,46.5775
05/21/2018,46.9075
05/22/2018,46.79
05/23/2018,47.09
05/24/2018,47.0375
05/25/2018,47.145
05/29/2018,46.975
05/30/2018,46.875
05/31/2018,46.7175
06/01/2018,47.56
06/04/2018,47.9575
06/05/2018,48.3275
06/06/2018,48.495
06/07/2018,48.365
06/08/2018,47.925
06/11/2018,47.8075
06/12/2018,48.07
06/13/2018,47.675
06/14/2018,47.7
06/15/2018,47.21
06/18/2018,47.185
06/19/2018,46.4225
06/20/2018,46.625
06/21/2018,46.365
06/22/2018,46.23
06/25/2018,45.5425
06/26/2018,46.1075
06/27/2018,46.04
06/28/2018,46.375
06/29/2018,46.2775
07/02/2018,46.795
07/03/2018,45.98
07/05/2018,46.35
07/06/2018,46.9925
07/09/2018,47.645
07/10/2018,47.5875
07/11/2018,46.97
07/12/2018,47.7575
07/13/2018,47.8325
07/16/2018,47.7275
07/17/2018,47.8625
07/18/2018,47.6
07/19/2018,47.97
07/20/2018,47.86
07/23/2018,47.9025
07/24/2018,48.25
07/25/2018,48.705
07/26/2018,48.5525
07/27/2018,47.745
07/30/2018,47.4775
07/31/2018,47.5725
08/01/2018,50.375
08/02/2018,51.8475
08/03/2018,51.9975
08/06/2018,52.2675
08/07/2018,51.7775
08/08/2018,51.8125
08/09/2018,52.22
08/10/2018,51.8825
08/13/2018,52.2175
08/14/2018,52.4375
08/15/2018,52.56
08/16/2018,53.33
08/17/2018,54.395
08/20/2018,53.865
08/21/2018,53.76
08/22/2018,53.7625
08/23/2018,53.8725
08/24/2018,54.04
08/27/2018,54.485
08/28/2018,54.925
08/29/2018,55.745
08/30/2018,56.2575
08/31/2018,56.9075
09/04/2018,57.09
09/05/2018,56.7175
09/06/2018,55.775
09/07/2018,55.325
09/10/2018,54.5825
09/11/2018,55.9625
09/12/2018,55.2675
09/13/2018,56.6025
09/14/2018,55.96
09/17/2018,54.47
09/18/2018,54.56
09/19/2018,54.5925
09/20/2018,55.0075
09/21/2018,54.415
09/24/2018,55.1975
09/25/2018,55.5475
09/26/2018,55.105
09/27/2018,56.2375
09/28/2018,56.435
10/01/2018,56.815
10/02/2018,57.32
10/03/2018,58.0175
10/04/2018,56.9975
10/05/2018,56.0725
10/08/2018,55.9425
10/09/2018,56.7175
10/10/2018,54.09
10/11/2018,53.6125
10/12/2018,55.5275
10/15/2018,54.34
10/16/2018,55.5375
10/17/2018,55.2975
10/18/2018,54.005
10/19/2018,54.8275
10/22/2018,55.1625
10/23/2018,55.6825
10/24/2018,53.7725
10/25/2018,54.95
10/26/2018,54.075
10/29/2018,53.06
10/30/2018,53.325
10/31/2018,54.715
11/01/2018,55.555
11/02/2018,51.87
11/05/2018,50.3975
11/06/2018,50.9425
11/07/2018,52.4875
11/08/2018,52.1225
11/09/2018,51.1175
11/12/2018,48.5425
11/13/2018,48.0575
11/14/2018,46.7
11/15/2018,47.8525
11/16/2018,48.3825
11/19/2018,46.465
11/20/2018,44.245
11/21/2018,44.195
11/23/2018,43.0725
11/26/2018,43.655
11/27/2018,43.56
11/28/2018,45.235
11/29/2018,44.8875
11/30/2018,44.645
12/03/2018,46.205
12/04/2018,44.1725
12/06/2018,43.68
12/07/2018,42.1225
12/10/2018,42.4
12/11/2018,42.1575
12/12/2018,42.275
12/13/2018,42.7375
12/14/2018,41.37
12/17/2018,40.985
12/18/2018,41.5175
12/19/2018,40.2225
12/20/2018,39.2075
12/21/2018,37.6825
12/24/2018,36.7075
12/26/2018,39.2925
12/27/2018,39.0375
12/28/2018,39.0575
12/31/2018,39.435
01/02/2019,39.48
01/03/2019,35.5475
01/04/2019,37.065
01/07/2019,36.9825
01/08/2019,37.6875
01/09/2019,38.3275
01/10/2019,38.45
01/11/2019,38.0725
01/14/2019,37.5
01/15/2019,38.2675
01/16/2019,38.735
01/17/2019,38.965
01/18/2019,39.205
01/22/2019,38.325
01/23/2019,38.48
01/24/2019,38.175
01/25/2019,39.44
01/28/2019,39.075
01/29/2019,38.67
01/30/2019,41.3125
01/31/2019,41.61
02/01/2019,41.63
02/04/2019,42.8125
02/05/2019,43.545
02/06/2019,43.56
02/07/2019,42.735
02/08/2019,42.6025
02/11/2019,42.3575
02/12/2019,42.7225
02/13/2019,42.545
02/14/2019,42.7
02/15/2019,42.605
02/19/2019,42.7325
02/20/2019,43.0075
02/21/2019,42.765
02/22/2019,43.2425
02/25/2019,43.5575
02/26/2019,43.5825
02/27/2019,43.7175
02/28/2019,43.2875
03/01/2019,43.7425
03/04/2019,43.9625
03/05/2019,43.8825
03/06/2019,43.63
03/07/2019,43.125
